FOOD,REFUSE (%),WATER (g),ENERGY (Kcal),PROTEIN (g),FAT (g),ASH (g),FIBER (g),CARBOHYDRATE  (g),SODIUM (mg),POTASSIUM (mg),CALCIUM (mg),PHOSPHORUS (mg),MAGNESIUM (mg),IRON (mg),ZINC (mg),COPPER (mg),VITAMIN A (ugre),VITAMIN C (mg),THIAMIN (mg),REBOFLAVIN (mg),
"barlcy , grains",0,8.8,335,10.7,1.5,2.9,6.9,69.6,55,299,104,184,26,4.63,2.25,0.41,T,0,0.3,0.11,
"corn , grains (white)",0,10.7,364,10.2,4,1.3,1.9,71.9,8,125,27,254,25,2.42,1.7,0.21,T,0,0.37,0.12,
"corn , grains (yellow)",0,10.1,368,12.7,5.5,1.8,2.9,67,10,161,26,239,30,2.6,1.5,0.19,120,0,0.39,0.11,
"corn , flakes",0,5,373,6.2,2.1,2.4,2.9,82.3,464,139,15,44,11,1.4,1,0.23,0,0,0.5,0.09,
"corn , flour",0,11.1,359,8.9,2.5,1.3,1,75.2,6,95,22,183,20,2.3,1.05,0.19,0,0,0,0,
"corn ,kernels , canned",0,74.5,100,2.8,0.9,0.9,0.5,20.1,301,82,5,65,,0.65,0.5,0.05,25,7,0.03,0.04,
"corn ,kernels  on cob , grilled",39,56.9,161,4,1,1,3,34.1,4,69,7,,,1.02,1.2,0.14,T,8,,,
"corn , popped ",0,1.8,541,9.1,16.7,3.9,2.5,66,706,158,20,293,,1.8,1.5,,T,0,,,
"corn , puffed",0,2.7,503,7.8,25.7,2.2,1.5,60.1,687,190,32,231,,2,1.3,,30,0,,,
"corn , starch",0,5,380,0.2,0.1,0.2,0,94.5,5,7,0,30,0,0,0,0,0,0,0,0,
macaroni,0,9.9,361,12,1.1,0.8,0.4,75.8,10,176,35,128,22,1.4,1.65,0.16,0,0,0.17,0.05,
"macaroni/tomato , cooked",0,59.3,169,5,3,1.5,3.7,30.5,288,95,15,66,,0.7,0.56,,,,,,
"macaroni/tomato/meat , cooked",0,61,175,6.8,5.6,1.6,0.6,24.4,342,184,30,130,,1.1,1.05,,,,,,
"noodles , fried",0,52,218,5.1,6,0.6,0.3,36,250,88,18,42,,0.6,0.7,,,,,,
"rice , grains (long)",0,11.2,357,8.7,0.8,0.3,0.3,78.7,13,108,22,108,15,0.77,1.3,0.23,0,0,0.09,0.04,
"rice , grains (short)",0,12.5,351,7.3,0.7,0.4,0.3,78.8,11,93,30,98,23,0.69,1.05,0.31,0,0,0.1,0.03,
"rice , flour",0,11.6,354,7.3,0.5,0.3,0.3,80,13,80,18,106,10,0.8,0.76,0.2,0,0,,,
"rice , fried ",0,49.8,214,3.6,3.9,1.3,0.3,41.1,278,67,7,43,,0.25,0.43,,,,,,
"rice , fried with noodles",0,49.4,219,3.5,4.5,1.2,0.3,41.1,299,75,18,52,,0.7,0.45,,,,,,
"rice , fried with onions",0,53.7,203,3.1,4.6,0.8,0.6,37.2,283,42,15,62,,1,0.8,,,,,,
"rice , fortified-baby food",0,4,420,16.2,10,2.9,0.5,66.4,170,780,555,460,13,7,2.2,,375,40,0.6,0.4,
rice (koshari),0,61,172,6.5,5.2,1.5,1.1,24.7,324,228,10,32,,1.4,1.3,0.2,,,,,
"rice (koshari) , market",0,63,157,4.5,3.7,1.6,0.9,26.3,401,185,8,27,,0.82,1.11,0.12,,,,,
"rice , pudding with milk",0,70,129,3.3,2.6,0.5,0.5,23.1,25,125,58,,,0.05,,,,,,,
"rice , puffed/crisp",0,5,379,9,0.7,0.8,0.3,84.2,115,141,14,105,13,1.01,0.98,0.23,,,,,
semolina,0,11,360,12,1.8,0.8,0.4,74,5,208,26,114,10,2.02,1.9,0.15,0,0,0.2,0.1,
"sorghum , grains",0,8.9,366,10.9,3.6,1.8,2.2,72.6,10,131,40,250,23,4.4,3.06,0.41,T,0,0.21,0.1,
"wheat , bran",0,10.2,313,14.4,3.9,6.5,10,55,60,1251,91,997,,10.5,8,0.95,0,0,0.75,0.3,
"wheat , grains",0,12.1,344,12,1.6,1.6,2.4,70.3,10,315,35,412,88,3.1,2.9,0.33,0,0,0.61,0.12,
"wheat , grains (bolila , canned)",0,75.9,95,2.4,0.6,0.5,0.6,20,22,79,15,,12,0.87,0.48,0.05,0,0,,,
"wheat , flour (brown)",0,12.1,350,11.8,1.3,1,1.1,72.7,8,265,28,118,27,2.6,1.82,0.3,0,0,0.5,0.11,
"wheat , flour (white)",0,11.8,354,10,1,0.5,0.4,76.3,6,120,18,92,22,0.85,1.59,0.13,0,0,0.11,0.05,
"wheat , fortified-baby food ",0,3.5,413,17,10,3.5,2.2,63.8,135,850,550,460,,8.25,2.5,,375,40,0.5,0.5,
"wheat , koskos plain",0,47,213,5.8,0.7,0.4,0.3,45.8,4,62,17,,,0.41,0.6,0.05,,,,,
"wheat , koskos sweet",0,40.6,283,5.8,9.8,0.4,0.5,42.9,7,65,15,92,,0.4,0.58,0.06,,,,,
"wheat , parboiled (burghul)",0,11.8,352,12.5,1.8,1.5,1,71.4,37,350,43,405,66,3.2,4.2,0.31,,0,0.35,0.14,
"wheat , rubbed (fereek)",0,10.8,351,11.6,1.7,1.4,2.1,72.4,22,300,41,320,56,3,3.5,0.3,,0,0.57,0.12,
"wheat , rubbed , cooked ",0,53.5,199,5.3,4,0.8,1,35.4,309,115,15,120,,1.4,16,,,,,,
"wheat , rubbed/meat , cooked",0,53,213,7.8,6.4,1.2,0.6,31,354,154,35,188,,2.07,1.87,,,,,,
"biscuit , chocolate coat",0,2.7,517,10.5,27.5,1.5,1,56.8,200,235,110,,,1.95,0.78,,T,0,0.04,0.13,
"biscuit , cream fill",0,2.6,509,7.3,25,0.9,0.6,63.6,130,135,62,168,,1.6,0.5,,T,0,0.14,0.15,
"biscuit , date fill",0,4.5,453,6.4,15.8,1.1,1,71.2,167,246,85,,8,2.85,0.53,0.15,T,0,0.2,0.18,
"biscuit , digestive",0,3,468,7.5,20,1.9,3,64.6,500,200,78,,32,3.2,0.7,0.2,0,0,0.15,0.09,
"biscuit , nice",0,3.1,454,9.8,15,1.2,0.5,70,162,137,120,155,,1.86,0.77,,0,0,0.1,0.03,
